user,team,year
121385,Green Trido,2018
121385,Blue Audril,2020
121398,Yellow Sharshel,2015
121398,Red Dovu,2016
121398,Green Trido,2017
121398,Green Trido,2018
121398,Green Trido,2022
121398,Yellow Sharshel,2019
121398,Red Dovu,2020
121398,Blue Audril,2021
121549,Green Trido,2016
121549,Yellow Sharshel,2018
121997,Red Dovu,2018
122040,Yellow Sharshel,2016
122240,Red Dovu,2015
122311,Yellow Sharshel,2015
122311,Green Trido,2016
122311,Red Dovu,2019
122520,Red Dovu,2015
122520,Yellow Sharshel,2016
122520,Green Trido,2017
122520,Yellow Sharshel,2018
122520,Yellow Sharshel,2022
122520,Blue Audril,2023
122520,Blue Audril,2019
122520,Red Dovu,2020
122520,Green Trido,2021
122677,Red Dovu,2023
122840,Blue Audril,2023
122888,Yellow Sharshel,2021
123310,Red Dovu,2018
123446,Red Dovu,2015
123446,Blue Audril,2016
123446,Red Dovu,2022
123446,Green Trido,2023
123599,Red Dovu,2019
123943,Blue Audril,2022
123943,Yellow Sharshel,2023
123943,Red Dovu,2020
123943,Green Trido,2021
124083,Blue Audril,2023
124124,Blue Audril,2015
124128,Yellow Sharshel,2015
124137,Blue Audril,2023
124137,Yellow Sharshel,2020
124168,Blue Audril,2015
124309,Green Trido,2015
124309,Blue Audril,2016
124309,Yellow Sharshel,2018
124314,Red Dovu,2015
124369,Blue Audril,2015
124369,Yellow Sharshel,2016
124369,Red Dovu,2017
124369,Red Dovu,2018
124369,Yellow Sharshel,2022
124369,Blue Audril,2023
124369,Blue Audril,2019
124369,Yellow Sharshel,2020
124369,Green Trido,2021
124378,Green Trido,2015
124583,Blue Audril,2016
124586,Green Trido,2016
124586,Red Dovu,2017
124586,Blue Audril,2018
124586,Yellow Sharshel,2020
124676,Yellow Sharshel,2016
124676,Green Trido,2020
124676,Red Dovu,2021
124723,Blue Audril,2016
124723,Red Dovu,2017
124726,Green Trido,2016
124734,Yellow Sharshel,2016
124751,Red Dovu,2016
124794,Yellow Sharshel,2016
124794,Green Trido,2017
124794,Blue Audril,2018
124794,Red Dovu,2019
124803,Yellow Sharshel,2016
124803,Red Dovu,2017
124826,Yellow Sharshel,2016
124862,Yellow Sharshel,2020
124906,Green Trido,2016
125242,Yellow Sharshel,2017
125344,Blue Audril,2016
125351,Yellow Sharshel,2016
125351,Red Dovu,2017
125351,Green Trido,2022
125351,Green Trido,2021
125351,Yellow Sharshel,2023
125361,Blue Audril,2022
125409,Green Trido,2016
125450,Yellow Sharshel,2016
125483,Blue Audril,2022
125483,Yellow Sharshel,2021
125483,Green Trido,2023
125489,Red Dovu,2016
125489,Blue Audril,2017
125489,Yellow Sharshel,2018
125489,Red Dovu,2022
125489,Blue Audril,2023
125489,Yellow Sharshel,2019
125489,Green Trido,2020
125489,Blue Audril,2021
125540,Green Trido,2018
125550,Yellow Sharshel,2016
126464,Red Dovu,2022
126666,Blue Audril,2016
126675,Green Trido,2016
126675,Blue Audril,2017
126675,Red Dovu,2018
126675,Yellow Sharshel,2019
126718,Green Trido,2016
126718,Yellow Sharshel,2017
126718,Blue Audril,2019
126718,Red Dovu,2020
126718,Yellow Sharshel,2021
126826,Red Dovu,2016
126884,Blue Audril,2016
126953,Green Trido,2016
126955,Blue Audril,2016
126955,Red Dovu,2018
126955,Yellow Sharshel,2022
126955,Blue Audril,2021
127000,Yellow Sharshel,2016
127000,Blue Audril,2018
127160,Yellow Sharshel,2016
127163,Yellow Sharshel,2016
127163,Blue Audril,2019
127185,Red Dovu,2016
127243,Green Trido,2016
127290,Blue Audril,2016
127657,Green Trido,2018
127791,Yellow Sharshel,2018
127791,Red Dovu,2022
127791,Blue Audril,2023
127791,Green Trido,2020
127791,Blue Audril,2021
127844,Blue Audril,2017
127846,Green Trido,2017
127846,Red Dovu,2018
127846,Green Trido,2022
127846,Yellow Sharshel,2020
127846,Blue Audril,2021
127846,Red Dovu,2023
127926,Red Dovu,2018
127926,Green Trido,2022
127926,Yellow Sharshel,2021
128127,Yellow Sharshel,2022
128128,Green Trido,2017
128128,Yellow Sharshel,2018
128128,Blue Audril,2022
128128,Yellow Sharshel,2023
128128,Red Dovu,2019
128128,Blue Audril,2020
128128,Green Trido,2021
128195,Blue Audril,2018
128216,Red Dovu,2022
128226,Green Trido,2022
128226,Blue Audril,2017
128226,Yellow Sharshel,2018
128226,Red Dovu,2019
128226,Green Trido,2020
128226,Blue Audril,2021
128226,Yellow Sharshel,2023
128253,Green Trido,2019
128438,Yellow Sharshel,2022
128438,Yellow Sharshel,2017
128438,Green Trido,2018
128438,Red Dovu,2019
128438,Blue Audril,2021
128438,Blue Audril,2023
128454,Yellow Sharshel,2017
128487,Red Dovu,2017
128487,Yellow Sharshel,2018
128487,Red Dovu,2022
128487,Green Trido,2019
128487,Green Trido,2020
128487,Blue Audril,2021
128509,Green Trido,2017
128509,Green Trido,2022
128509,Red Dovu,2023
128509,Blue Audril,2021
128586,Yellow Sharshel,2018
128586,Blue Audril,2019
128588,Blue Audril,2017
128588,Green Trido,2020
128601,Blue Audril,2017
128601,Green Trido,2018
128609,Blue Audril,2017
128625,Yellow Sharshel,2017
128637,Blue Audril,2017
128789,Red Dovu,2018
128789,Green Trido,2022
128789,Green Trido,2019
128789,Blue Audril,2020
128789,Yellow Sharshel,2021
128959,Blue Audril,2018
128959,Yellow Sharshel,2019
128959,Red Dovu,2020
129019,Yellow Sharshel,2022
129019,Blue Audril,2023
129053,Yellow Sharshel,2018
129058,Yellow Sharshel,2018
129278,Red Dovu,2018
129317,Green Trido,2018
129398,Red Dovu,2018
129446,Green Trido,2018
129471,Blue Audril,2018
129471,Yellow Sharshel,2022
129471,Red Dovu,2019
129479,Yellow Sharshel,2018
129479,Red Dovu,2022
129479,Red Dovu,2019
129479,Blue Audril,2020
129479,Green Trido,2021
129653,Green Trido,2018
129684,Green Trido,2018
129699,Green Trido,2018
129733,Green Trido,2018
129733,Blue Audril,2019
129733,Red Dovu,2020
129760,Blue Audril,2018
129838,Blue Audril,2023
129869,Red Dovu,2022
129869,Blue Audril,2023
129957,Yellow Sharshel,2022
129957,Yellow Sharshel,2019
129996,Green Trido,2019
130017,Yellow Sharshel,2019
130017,Red Dovu,2021
130182,Blue Audril,2020
130354,Yellow Sharshel,2019
130745,Red Dovu,2019
130787,Blue Audril,2022
130787,Yellow Sharshel,2023
130787,Green Trido,2019
130787,Red Dovu,2021
130971,Yellow Sharshel,2019
131107,Green Trido,2019
131246,Yellow Sharshel,2022
131246,Red Dovu,2020
131246,Blue Audril,2021
131246,Green Trido,2023
131284,Red Dovu,2020
131388,Green Trido,2020
131809,Blue Audril,2022
131809,Red Dovu,2023
131809,Green Trido,2020
131809,Yellow Sharshel,2021
131893,Yellow Sharshel,2021
131895,Green Trido,2022
131895,Red Dovu,2020
131895,Yellow Sharshel,2021
131899,Green Trido,2022
131899,Blue Audril,2020
131899,Yellow Sharshel,2021
131942,Blue Audril,2020
131960,Yellow Sharshel,2023
131960,Blue Audril,2020
131960,Green Trido,2021
132038,Yellow Sharshel,2020
132068,Yellow Sharshel,2022
132068,Blue Audril,2020
132162,Blue Audril,2020
132174,Green Trido,2020
132244,Green Trido,2022
132244,Yellow Sharshel,2023
132244,Red Dovu,2021
132351,Yellow Sharshel,2022
132368,Red Dovu,2022
132386,Red Dovu,2022
132386,Blue Audril,2023
132386,Green Trido,2021
132448,Yellow Sharshel,2021
132567,Blue Audril,2021
132580,Blue Audril,2021
132593,Green Trido,2023
132601,Green Trido,2021
132665,Blue Audril,2022
132665,Yellow Sharshel,2021
132667,Red Dovu,2021
132674,Green Trido,2021
132677,Green Trido,2022
132677,Yellow Sharshel,2023
132677,Red Dovu,2021
132680,Green Trido,2022
132680,Yellow Sharshel,2023
132680,Blue Audril,2021
132712,Red Dovu,2021
132725,Green Trido,2023
132725,Blue Audril,2021
132870,Green Trido,2023
132870,Yellow Sharshel,2021
132938,Red Dovu,2021
133004,Red Dovu,2022
133136,Red Dovu,2021
133141,Red Dovu,2021
133154,Yellow Sharshel,2021
133157,Green Trido,2022
133157,Yellow Sharshel,2023
133209,Blue Audril,2022
133209,Red Dovu,2023
133305,Blue Audril,2022
133305,Yellow Sharshel,2023
133355,Red Dovu,2022
133434,Green Trido,2022
133434,Blue Audril,2023
133477,Blue Audril,2023
133486,Blue Audril,2022
133486,Green Trido,2023
133501,Green Trido,2022
133570,Blue Audril,2022
133570,Green Trido,2023
133577,Red Dovu,2023
133651,Red Dovu,2023
133656,Green Trido,2022
133656,Yellow Sharshel,2023
133728,Red Dovu,2022
133775,Blue Audril,2022
133784,Green Trido,2023
133836,Yellow Sharshel,2022
133929,Red Dovu,2022
133985,Red Dovu,2022
133995,Green Trido,2022
134001,Yellow Sharshel,2022
134016,Green Trido,2022
134021,Green Trido,2022
134027,Red Dovu,2022
134072,Green Trido,2023
134074,Blue Audril,2023
134132,Red Dovu,2023
134133,Red Dovu,2023
134141,Red Dovu,2023
134179,Blue Audril,2023
134580,Red Dovu,2023
134639,Green Trido,2023
134715,Red Dovu,2023
134719,Green Trido,2023
banned,Green Trido,2017
banned,Red Dovu,2017
banned,Red Dovu,2017
banned,Red Dovu,2022
banned,Red Dovu,2016
banned,Green Trido,2017
banned,Blue Audril,2018
banned,Yellow Sharshel,2019
banned,Yellow Sharshel,2017
banned,Green Trido,2017
banned,Blue Audril,2018
banned,Yellow Sharshel,2015
